0,-110,190,10,10
1,-130,190,-210,-210
2,0,100,0,0
3,-130,190,-40,-40
4,-130,190,-40,-40
5,-130,90,10,10
6,-130,90,-200,-200
7,0,100,0,0
8,-130,90,-30,-30
9,-130,90,-30,-30
10,-130,-10,10,10
11,-130,-10,-200,-200
12,0,100,0,0
13,-130,-10,-40,-40
14,-130,-10,-40,-40
15,-200,-10,10,10
16,-220,0,-200,-200
17,0,100,0,0
18,-220,0,-10,-10
19,-220,0,-20,-20
20,-220,90,20,20
21,-220,90,-200,-200
22,0,100,0,0
23,-220,90,-10,-10
24,-220,90,-20,-20
25,-220,180,30,30
26,-220,180,-200,-200
27,0,100,0,0
28,-220,180,-10,-10
29,-110,190,10,10
30,0,100,0,0
31,-110,190,-31,-31
32,-110,190,-31,-31
33,-110,90,9,9
34,-110,90,-178,-178
35,0,100,0,0
36,-110,90,-28,-28
37,-110,90,-28,-28
